feature_name	operation	parameter	sigma	group	downsample	quickTest	model_name_here
original			0	original		1	1
Gaussian_blur_1.0	Gaussian Blur 3D...		1	IJ_filter		1	1
Hessian_largest_1.0_true	Hessian	0	1	ImageScience		1	1
Hessian_middle_1.0_true	Hessian	1	1	ImageScience			1
Hessian_smallest_1.0_true	Hessian	2	1	ImageScience			1
Derivatives_1_1_1_1.0	Derivatives	1	1	ImageScience			1
Derivatives_2_2_2_1.0	Derivatives	2	1	ImageScience			1
Derivatives_3_3_3_1.0	Derivatives	3	1	ImageScience			1
Derivatives_4_4_4_1.0	Derivatives	4	1	ImageScience			1
Derivatives_5_5_5_1.0	Derivatives	5	1	ImageScience			1
Laplacian_1.0	Laplacian		1	ImageScience			1
Edges_1.0	Edges		1	ImageScience			1
Structure_largest_1.0_1.0	Structure_1	0	1	ImageScience			1
Structure_middle_1.0_1.0	Structure_1	1	1	ImageScience			1
Structure_smallest_1.0_1.0	Structure_1	2	1	ImageScience			1
Structure_largest_1.0_3.0	Structure_3	0	1	ImageScience			1
Structure_middle_1.0_3.0	Structure_3	1	1	ImageScience			1
Structure_smallest_1.0_3.0	Structure_3	2	1	ImageScience			1
Minimum_1.0	Minimum 3D...		1	IJ_filter			1
Maximum_1.0	Maximum 3D...		1	IJ_filter			1
Mean_1.0	Mean 3D...		1	IJ_filter			1
Median_1.0	Median 3D...		1	IJ_filter			1
Variance_1.0	Variance 3D...		1	IJ_filter			1
Gaussian_blur_2.0	Gaussian Blur 3D...		2	IJ_filter			1
Hessian_largest_2.0_true	Hessian	0	2	ImageScience			1
Hessian_middle_2.0_true	Hessian	1	2	ImageScience			1
Hessian_smallest_2.0_true	Hessian	2	2	ImageScience			1
Derivatives_1_1_1_2.0	Derivatives	1	2	ImageScience			1
Derivatives_2_2_2_2.0	Derivatives	2	2	ImageScience			1
Derivatives_3_3_3_2.0	Derivatives	3	2	ImageScience			1
Derivatives_4_4_4_2.0	Derivatives	4	2	ImageScience			1
Derivatives_5_5_5_2.0	Derivatives	5	2	ImageScience			1
Laplacian_2.0	Laplacian		2	ImageScience			1
Edges_2.0	Edges		2	ImageScience		1	1
Structure_largest_2.0_1.0	Structure_1	0	2	ImageScience			1
Structure_middle_2.0_1.0	Structure_1	1	2	ImageScience			1
Structure_smallest_2.0_1.0	Structure_1	2	2	ImageScience			1
Structure_largest_2.0_3.0	Structure_3	0	2	ImageScience			1
Structure_middle_2.0_3.0	Structure_3	1	2	ImageScience			1
Structure_smallest_2.0_3.0	Structure_3	2	2	ImageScience			1
Minimum_2.0	Minimum 3D...		2	IJ_filter		1	1
Maximum_2.0	Maximum 3D...		2	IJ_filter			1
Mean_2.0	Mean 3D...		2	IJ_filter			1
Median_2.0	Median 3D...		2	IJ_filter			1
Variance_2.0	Variance 3D...		2	IJ_filter			1
Gaussian_blur_4.0	Gaussian Blur 3D...		4	IJ_filter			1
Hessian_largest_4.0_true	Hessian	0	4	ImageScience			1
Hessian_middle_4.0_true	Hessian	1	4	ImageScience			1
Hessian_smallest_4.0_true	Hessian	2	4	ImageScience			1
Derivatives_1_1_1_4.0	Derivatives	1	4	ImageScience			1
Derivatives_2_2_2_4.0	Derivatives	2	4	ImageScience			1
Derivatives_3_3_3_4.0	Derivatives	3	4	ImageScience			1
Derivatives_4_4_4_4.0	Derivatives	4	4	ImageScience			1
Derivatives_5_5_5_4.0	Derivatives	5	4	ImageScience			1
Laplacian_4.0	Laplacian		4	ImageScience			1
Edges_4.0	Edges		4	ImageScience			1
Structure_largest_4.0_1.0	Structure_1	0	4	ImageScience			1
